"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025472682.25797","2186758474.1649","2315391347.72166","2484593044.8417","2688426605.77626","2756904694.34618","2789595753.48052","2986175079.02193","3045659222.21781","3083365757.75578","3318213058.37736","3457444044.043","3424329647.45225","3462712243.50061","3714833217.5438","3700533819.01598","3742679414.67693","3858579802.74454","3929324195.46114","3470238242.72578","3375410652.48865","3489053240.78871","3452928444.50789","3674945421.6504","3674192821.72789","3804392608.32332","3884920800.03264","4097906578.10494","4313368560.44231","4340759735.66229","3533851600.65655","4140702570.61893","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941230128540.858","941502346506.048","923240769908.393","918851419781.735","935141011491.647","977089498425.114","1030404902862.74","1074819374522.97","1094745165069.85","1124956721320.88","1163493465389.3","1206367453281.42","1253866983703.91","1295313814249.44","1369484007845.93","1456215145828.31","1554314988532.53","1659883928107.59","1736032361958.39","1747878036619.04","1839079146370.72","1913670885579.79","1958071915018.86","2040606327834.44","2126168222172.54","2195150972329.88","2252600537321.67","2315257093012.85","2378995199081.57","2434249407667.38","2367081181570.72","2473899344477.52","2561800475688.7",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054382.385","29265058689.4061","29678901146.3632","33011757107.8906","34780330056.488","39589169629.9389","41143038133.026","49943751386.6576","57116893447.1231","57360414055.1093","64675178730.6937","68297470348.5577","70158264544.684","71176481723.2911","72785293847.6716","74711922906.3738","75600418108.8303","78557606648.6734","76710638229.7132","60831536120.7871","",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576450635409.541","583643220657.226","598067498363.25","591856316379.359","591429860434.499","604198213585.307","632674258511.029","660180290585.979","683807654813.893","695235586782.707","720294927730.994","757827110797.348","828636619180.942","873867771013.194","942447076768.49","996924092673.325","1050414043313.83","1107184647738.34","1176280800568.4","1247086120969.24","1331814776575.47","1396969026019.2","1470162108394.59","1558975329484.32","1649904647786.04","1695471340291.32","1702597304656.14","1746659814390.76","1798952061583.4","1859675906587.22","1845145605905.64","1919728951043.25","1992634876958.15",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299596.3331","69203621614.5424","65163319907.1914","49534928874.7461","50198381600.3808","57728138854.9269","65547051434.1772","70315125753.2641","73613711279.5091","75219586822.4077","77517262550.4312","80777637494.1042","91816458022.4212","94561770117.2916","104916283945.135","120685201422.089","134624342186.34","153485212526.646","170629510765.873","172096924558.46","179666394277.964","185904506976.356","201784669021.091","211782318527.228","221995646360.782","224090334147.222","218308554288.735","217987313632.158","215117812148.692","213607097926.956","201563471094.763","203980641447.534","210192674041.075",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864229287.9428","11421905330.1147","10601000325.4331","11614393589.2621","12578721195.0287","14254500360.2357","15551659812.6879","13853421037.256","15076598285.6704","17020092966.3848","18202345488.065","19711922905.6032","20606159050.6868","21745398880.0436","22944585414.1958","24212600545.8892","25641787799.8421","27176002509.104","29214213956.3594","30194143223.7472","31313421438.7448","32110475192.1001","32565558589.7763","32891871199.0764","33475520630.1684","34218250835.6181","35352579241.1673","36696895966.9462","38171871046.5525","38968789777.6784","37682008369.76","41038920567.8786","43026942689.1096",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2187667071497.41","2245087187638.91","2352866742801.49","2414473384682.18","2484536557257.8","2551774099252.14","2670316265054.51","2787021867953.26","2931727581370.96","2990315387288.87","3181478288332.86","3237784243301.11","3257486105831.4","3417682973867.24","3706016177280.78","3907738972335.3","4134356384482.49","4322072481879.77","4563197377625.29","4586510152907.18","4796607663144.17","4963210584409.22","5244791867134.44","5384111162355.15","5520077125148.69","5751405011994.85","5972498344286.47","6072114248359.9","6237313944572.64","6338668455690.94","6049528245936.22","6274972206966.04","6656330988767.14",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201213879449.833","202944483699.381","209732864779.274","212377996692.186","227023898832.712","242206999431.948","256251139923.816","277239129805.095","278048652396.47","286118218325.075","317169782258.252","321607257202.546","329433430905.558","358425354450.21","392713888875.211","411780702677.619","452288887165.519","466691530045.03","481587559598.512","456338299936.495","463652718597.496","495776937054.479","519458345815.054","545719872386.608","568452880583.418","607032486498.912","640792542144.529","645502807643.102","653984158638.428","661232579860.838","628454934172.839","653067090096.921","701466566121.306",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067195.929","503521692862.146","543487677674.491","588091597641.289","622413803601.144","604704826243.565","638124986359.867","689883602459.331","716445355021.616","692190405307.751","686729030353.619","656452248351.554","584935157747.954","636626116266.938","694110738086.543","755551060091.098","816351398559.736","889885482455.565","925990210832.673","871185248000","959396223037.209","1016997908810.97","1006559234253.78","1030770242883.07","1004870951838","1032315583600.75","1010840035079.44","1039330591568.54","1012127189427.81","991875931195.231","893251375114.368","986133881445.537","1037837319671.9",
