"entity","code","year","cumulative_co2_emissions_zero_filled"
"United States","USA",1750,0
"United States","USA",1751,0
"United States","USA",1752,0
"United States","USA",1753,0
"United States","USA",1754,0
"United States","USA",1755,0
"United States","USA",1756,0
"United States","USA",1757,0
"United States","USA",1758,0
"United States","USA",1759,0
"United States","USA",1760,0
"United States","USA",1761,0
"United States","USA",1762,0
"United States","USA",1763,0
"United States","USA",1764,0
"United States","USA",1765,0
"United States","USA",1766,0
"United States","USA",1767,0
"United States","USA",1768,0
"United States","USA",1769,0
"United States","USA",1770,0
"United States","USA",1771,0
"United States","USA",1772,0
"United States","USA",1773,0
"United States","USA",1774,0
"United States","USA",1775,0
"United States","USA",1776,0
"United States","USA",1777,0
"United States","USA",1778,0
"United States","USA",1779,0
"United States","USA",1780,0
"United States","USA",1781,0
"United States","USA",1782,0
"United States","USA",1783,0
"United States","USA",1784,0
"United States","USA",1785,0
"United States","USA",1786,0
"United States","USA",1787,0
"United States","USA",1788,0
"United States","USA",1789,0
"United States","USA",1790,0
"United States","USA",1791,0
"United States","USA",1792,0
"United States","USA",1793,0
"United States","USA",1794,0
"United States","USA",1795,0
"United States","USA",1796,0
"United States","USA",1797,0
"United States","USA",1798,0
"United States","USA",1799,0
"United States","USA",1800,252815.98
"United States","USA",1801,520288
"United States","USA",1802,809744
"United States","USA",1803,1106528
"United States","USA",1804,1439952
"United States","USA",1805,1780704
"United States","USA",1806,2114128
"United States","USA",1807,2491520
"United States","USA",1808,2883568
"United States","USA",1809,3286608
"United States","USA",1810,3704304
"United States","USA",1811,4151312
"United States","USA",1812,4634960
"United States","USA",1813,5155248
"United States","USA",1814,5715840
"United States","USA",1815,6316736
"United States","USA",1816,6979920
"United States","USA",1817,7698064
"United States","USA",1818,8478496
"United States","USA",1819,9240608
"United States","USA",1820,10032032
"United States","USA",1821,10860096
"United States","USA",1822,11724800
"United States","USA",1823,12626144
"United States","USA",1824,13641072
"United States","USA",1825,14776912
"United States","USA",1826,16092288
"United States","USA",1827,17539568
"United States","USA",1828,19133408
"United States","USA",1829,20928768
"United States","USA",1830,23017248
"United States","USA",1831,25281600
"United States","USA",1832,28304400
"United States","USA",1833,31832832
"United States","USA",1834,35214704
"United States","USA",1835,39530896
"United States","USA",1836,44261120
"United States","USA",1837,49566590
"United States","USA",1838,54597264
"United States","USA",1839,60115250
"United States","USA",1840,65988640
"United States","USA",1841,72202780
"United States","USA",1842,79120420
"United States","USA",1843,86884430
"United States","USA",1844,96190990
"United States","USA",1845,107395500
"United States","USA",1846,120105920
"United States","USA",1847,135175950
"United States","USA",1848,151960740
"United States","USA",1849,170181810
"United States","USA",1850,189974740
"United States","USA",1851,214607800
"United States","USA",1852,241398980
"United States","USA",1853,271561020
"United States","USA",1854,304720220
"United States","USA",1855,342880770
"United States","USA",1856,382917300
"United States","USA",1857,423972400
"United States","USA",1858,465621120
"United States","USA",1859,510941120
"United States","USA",1860,558378940
"United States","USA",1861,604058050
"United States","USA",1862,651506800
"United States","USA",1863,706316600
"United States","USA",1864,764973600
"United States","USA",1865,823795460
"United States","USA",1866,883027650
"United States","USA",1867,955893600
"United States","USA",1868,1038245700
"United States","USA",1869,1131941500
"United States","USA",1870,1230561800
"United States","USA",1871,1333582500
"United States","USA",1872,1459887900
"United States","USA",1873,1599394600
"United States","USA",1874,1733691300
"United States","USA",1875,1869438700
"United States","USA",1876,2002258800
"United States","USA",1877,2149434400
"United States","USA",1878,2293337900
"United States","USA",1879,2468807000
"United States","USA",1880,2667491000
"United States","USA",1881,2877684000
"United States","USA",1882,3113078000
"United States","USA",1883,3366960600
"United States","USA",1884,3634550000
"United States","USA",1885,3906712300
"United States","USA",1886,4194175500
"United States","USA",1887,4501556000
"United States","USA",1888,4875431400
"United States","USA",1889,5210973700
"United States","USA",1890,5612721000
"United States","USA",1891,6040146000
"United States","USA",1892,6490595000
"United States","USA",1893,6944689700
"United States","USA",1894,7369740300
"United States","USA",1895,7849688000
"United States","USA",1896,8330571000
"United States","USA",1897,8830858000
"United States","USA",1898,9376179000
"United States","USA",1899,10001713000
"United States","USA",1900,10664452000
"United States","USA",1901,11385979000
"United States","USA",1902,12150475000
"United States","USA",1903,13044882000
"United States","USA",1904,13926940000
"United States","USA",1905,14913422000
"United States","USA",1906,15948893000
"United States","USA",1907,17152755000
"United States","USA",1908,18205567000
"United States","USA",1909,19371274000
"United States","USA",1910,20642855000
"United States","USA",1911,21901523000
"United States","USA",1912,23245089000
"United States","USA",1913,24687630000
"United States","USA",1914,26005610000
"United States","USA",1915,27373308000
"United States","USA",1916,28892290000
"United States","USA",1917,30563258000
"United States","USA",1918,32310977000
"United States","USA",1919,33790136000
"United States","USA",1920,35528380000
"United States","USA",1921,36952050000
"United States","USA",1922,38387810000
"United States","USA",1923,40284545000
"United States","USA",1924,41982865000
"United States","USA",1925,43741050000
"United States","USA",1926,45647098000
"United States","USA",1927,47509940000
"United States","USA",1928,49340903000
"United States","USA",1929,51304407000
"United States","USA",1930,53049324000
"United States","USA",1931,54534283000
"United States","USA",1932,55792100000
"United States","USA",1933,57140974000
"United States","USA",1934,58577215000
"United States","USA",1935,60069536000
"United States","USA",1936,61782946000
"United States","USA",1937,63575556000
"United States","USA",1938,65091305000
"United States","USA",1939,66762228000
"United States","USA",1940,68637213000
"United States","USA",1941,70680800000
"United States","USA",1942,72879060000
"United States","USA",1943,75151120000
"United States","USA",1944,77596025000
"United States","USA",1945,79955575000
"United States","USA",1946,82213070000
"United States","USA",1947,84698920000
"United States","USA",1948,87281480000
"United States","USA",1949,89446340000
"United States","USA",1950,91987830000
"United States","USA",1951,94606540000
"United States","USA",1952,97157760000
"United States","USA",1953,99770730000
"United States","USA",1954,102260195000
"United States","USA",1955,104988705000
"United States","USA",1956,107848700000
"United States","USA",1957,110684470000
"United States","USA",1958,113431585000
"United States","USA",1959,116263500000
"United States","USA",1960,119160816000
"United States","USA",1961,122047690000
"United States","USA",1962,125041600000
"United States","USA",1963,128168080000
"United States","USA",1964,131432400000
"United States","USA",1965,134831940000
"United States","USA",1966,138403360000
"United States","USA",1967,142108820000
"United States","USA",1968,145949740000
"United States","USA",1969,149984890000
"United States","USA",1970,154324580000
"United States","USA",1971,158690030000
"United States","USA",1972,163263050000
"United States","USA",1973,168048100000
"United States","USA",1974,172669160000
"United States","USA",1975,177147380000
"United States","USA",1976,181895140000
"United States","USA",1977,186784740000
"United States","USA",1978,191726110000
"United States","USA",1979,196734680000
"United States","USA",1980,201543200000
"United States","USA",1981,206229570000
"United States","USA",1982,210676830000
"United States","USA",1983,215106200000
"United States","USA",1984,219768340000
"United States","USA",1985,224420920000
"United States","USA",1986,229084300000
"United States","USA",1987,233909940000
"United States","USA",1988,238960430000
"United States","USA",1989,244092550000
"United States","USA",1990,249215060000
"United States","USA",1991,254280040000
"United States","USA",1992,259455250000
"United States","USA",1993,264729620000
"United States","USA",1994,270095200000
"United States","USA",1995,2.75523e+11
"United States","USA",1996,281139450000
"United States","USA",1997,286831280000
"United States","USA",1998,292568430000
"United States","USA",1999,298378760000
"United States","USA",2000,304395100000
"United States","USA",2001,310307100000
"United States","USA",2002,316259800000
"United States","USA",2003,322275600000
"United States","USA",2004,328393560000
"United States","USA",2005,334531170000
"United States","USA",2006,340588330000
"United States","USA",2007,346723600000
"United States","USA",2008,352642500000
"United States","USA",2009,358125470000
"United States","USA",2010,363806850000
"United States","USA",2011,369353500000
"United States","USA",2012,374698930000
"United States","USA",2013,380179870000
"United States","USA",2014,385708720000
"United States","USA",2015,391085330000
"United States","USA",2016,396337100000
"United States","USA",2017,401548020000
"United States","USA",2018,406924700000
"United States","USA",2019,412183820000
"United States","USA",2020,416899530000
"United States","USA",2021,421906840000
"European Union (27)",NA,1750,0
"European Union (27)",NA,1751,0
"European Union (27)",NA,1752,0
"European Union (27)",NA,1753,0
"European Union (27)",NA,1754,0
"European Union (27)",NA,1755,0
"European Union (27)",NA,1756,0
"European Union (27)",NA,1757,0
"European Union (27)",NA,1758,0
"European Union (27)",NA,1759,0
"European Union (27)",NA,1760,0
"European Union (27)",NA,1761,0
"European Union (27)",NA,1762,0
"European Union (27)",NA,1763,0
"European Union (27)",NA,1764,0
"European Union (27)",NA,1765,0
"European Union (27)",NA,1766,0
"European Union (27)",NA,1767,0
"European Union (27)",NA,1768,0
"European Union (27)",NA,1769,0
"European Union (27)",NA,1770,0
"European Union (27)",NA,1771,0
"European Union (27)",NA,1772,0
"European Union (27)",NA,1773,0
"European Union (27)",NA,1774,0
"European Union (27)",NA,1775,0
"European Union (27)",NA,1776,0
"European Union (27)",NA,1777,0
"European Union (27)",NA,1778,0
"European Union (27)",NA,1779,0
"European Union (27)",NA,1780,0
"European Union (27)",NA,1781,0
"European Union (27)",NA,1782,0
"European Union (27)",NA,1783,0
"European Union (27)",NA,1784,0
"European Union (27)",NA,1785,0
"European Union (27)",NA,1786,0
"European Union (27)",NA,1787,0
"European Union (27)",NA,1788,0
"European Union (27)",NA,1789,0
"European Union (27)",NA,1790,0
"European Union (27)",NA,1791,0
"European Union (27)",NA,1792,468992
"European Union (27)",NA,1793,948976
"European Union (27)",NA,1794,1392320
"European Union (27)",NA,1795,1839328
"European Union (27)",NA,1796,2374272
"European Union (27)",NA,1797,2923872
"European Union (27)",NA,1798,3499120
"European Union (27)",NA,1799,4125664
"European Union (27)",NA,1800,5327456
"European Union (27)",NA,1801,6305744
"European Union (27)",NA,1802,15945728
"European Union (27)",NA,1803,16942336
"European Union (27)",NA,1804,20584352
"European Union (27)",NA,1805,22196512
"European Union (27)",NA,1806,23654784
"European Union (27)",NA,1807,26890096
"European Union (27)",NA,1808,28289744
"European Union (27)",NA,1809,29693056
"European Union (27)",NA,1810,33360720
"European Union (27)",NA,1811,36929456
"European Union (27)",NA,1812,40512850
"European Union (27)",NA,1813,43832430
"European Union (27)",NA,1814,47309570
"European Union (27)",NA,1815,51270350
"European Union (27)",NA,1816,56832304
"European Union (27)",NA,1817,63618030
"European Union (27)",NA,1818,70455060
"European Union (27)",NA,1819,77299410
"European Union (27)",NA,1820,84664050
"European Union (27)",NA,1821,92395090
"European Union (27)",NA,1822,100470540
"European Union (27)",NA,1823,109242160
"European Union (27)",NA,1824,117665700
"European Union (27)",NA,1825,127690400
"European Union (27)",NA,1826,137645490
"European Union (27)",NA,1827,149879580
"European Union (27)",NA,1828,162329860
"European Union (27)",NA,1829,173578340
"European Union (27)",NA,1830,192719570
"European Union (27)",NA,1831,209189840
"European Union (27)",NA,1832,225670910
"European Union (27)",NA,1833,243434500
"European Union (27)",NA,1834,262996580
"European Union (27)",NA,1835,283844740
"European Union (27)",NA,1836,307422600
"European Union (27)",NA,1837,333008300
"European Union (27)",NA,1838,360154880
"European Union (27)",NA,1839,388426300
"European Union (27)",NA,1840,420475300
"European Union (27)",NA,1841,454979200
"European Union (27)",NA,1842,492117500
"European Union (27)",NA,1843,528046700
"European Union (27)",NA,1844,566621250
"European Union (27)",NA,1845,610538000
"European Union (27)",NA,1846,659804100
"European Union (27)",NA,1847,713452400
"European Union (27)",NA,1848,761025800
"European Union (27)",NA,1849,810156350
"European Union (27)",NA,1850,864346400
"European Union (27)",NA,1851,921643970
"European Union (27)",NA,1852,985928800
"European Union (27)",NA,1853,1057109400
"European Union (27)",NA,1854,1139428500
"European Union (27)",NA,1855,1230250100
"European Union (27)",NA,1856,1326646300
"European Union (27)",NA,1857,1427098500
"European Union (27)",NA,1858,1532964600
"European Union (27)",NA,1859,1636962800
"European Union (27)",NA,1860,1749616300
"European Union (27)",NA,1861,1873468200
"European Union (27)",NA,1862,2007544000
"European Union (27)",NA,1863,2147032600
"European Union (27)",NA,1864,2297930000
"European Union (27)",NA,1865,2461752800
"European Union (27)",NA,1866,2630082000
"European Union (27)",NA,1867,2810572300
"European Union (27)",NA,1868,2999926000
"European Union (27)",NA,1869,3197274400
"European Union (27)",NA,1870,3395400400
"European Union (27)",NA,1871,3606980900
"European Union (27)",NA,1872,3842073300
"European Union (27)",NA,1873,4093773000
"European Union (27)",NA,1874,4313995300
"European Union (27)",NA,1875,4568911400
"European Union (27)",NA,1876,4835258000
"European Union (27)",NA,1877,5095142000
"European Union (27)",NA,1878,5363652600
"European Union (27)",NA,1879,5647911400
"European Union (27)",NA,1880,5976770000
"European Union (27)",NA,1881,6306906000
"European Union (27)",NA,1882,6655863000
"European Union (27)",NA,1883,7028515000
"European Union (27)",NA,1884,7404860400
"European Union (27)",NA,1885,7785848300
"European Union (27)",NA,1886,8168622600
"European Union (27)",NA,1887,8569587000
"European Union (27)",NA,1888,9000962000
"European Union (27)",NA,1889,9455524000
"European Union (27)",NA,1890,9937171000
"European Union (27)",NA,1891,10438503000
"European Union (27)",NA,1892,10932126000
"European Union (27)",NA,1893,11434047000
"European Union (27)",NA,1894,11961257000
"European Union (27)",NA,1895,12504565000
"European Union (27)",NA,1896,13079860000
"European Union (27)",NA,1897,13688426000
"European Union (27)",NA,1898,14323922000
"European Union (27)",NA,1899,14993264000
"European Union (27)",NA,1900,15705412000
"European Union (27)",NA,1901,16415077000
"European Union (27)",NA,1902,17111530000
"European Union (27)",NA,1903,17854610000
"European Union (27)",NA,1904,18611770000
"European Union (27)",NA,1905,19407534000
"European Union (27)",NA,1906,20219884000
"European Union (27)",NA,1907,21147380000
"European Union (27)",NA,1908,22109403000
"European Union (27)",NA,1909,23064412000
"European Union (27)",NA,1910,24037267000
"European Union (27)",NA,1911,25029970000
"European Union (27)",NA,1912,26094354000
"European Union (27)",NA,1913,27240514000
"European Union (27)",NA,1914,28221487000
"European Union (27)",NA,1915,29121516000
"European Union (27)",NA,1916,30067610000
"European Union (27)",NA,1917,31005921000
"European Union (27)",NA,1918,31889357000
"European Union (27)",NA,1919,32576287000
"European Union (27)",NA,1920,33437702000
"European Union (27)",NA,1921,34331808000
"European Union (27)",NA,1922,35249865000
"European Union (27)",NA,1923,36073220000
"European Union (27)",NA,1924,37073367000
"European Union (27)",NA,1925,38085054000
"European Union (27)",NA,1926,39062940000
"European Union (27)",NA,1927,40162260000
"European Union (27)",NA,1928,41287390000
"European Union (27)",NA,1929,42523060000
"European Union (27)",NA,1930,43646374000
"European Union (27)",NA,1931,44658060000
"European Union (27)",NA,1932,45552194000
"European Union (27)",NA,1933,4.6474e+10
"European Union (27)",NA,1934,47467475000
"European Union (27)",NA,1935,48507445000
"European Union (27)",NA,1936,49591288000
"European Union (27)",NA,1937,50811146000
"European Union (27)",NA,1938,52043457000
"European Union (27)",NA,1939,53312470000
"European Union (27)",NA,1940,54632833000
"European Union (27)",NA,1941,55934226000
"European Union (27)",NA,1942,57254900000
"European Union (27)",NA,1943,58586575000
"European Union (27)",NA,1944,59728273000
"European Union (27)",NA,1945,60221180000
"European Union (27)",NA,1946,61068825000
"European Union (27)",NA,1947,62059545000
"European Union (27)",NA,1948,63154913000
"European Union (27)",NA,1949,64366027000
"European Union (27)",NA,1950,65643815000
"European Union (27)",NA,1951,67073642000
"European Union (27)",NA,1952,68560540000
"European Union (27)",NA,1953,70075610000
"European Union (27)",NA,1954,71687045000
"European Union (27)",NA,1955,73430490000
"European Union (27)",NA,1956,75297660000
"European Union (27)",NA,1957,77224165000
"European Union (27)",NA,1958,79135180000
"European Union (27)",NA,1959,81075950000
"European Union (27)",NA,1960,83175210000
"European Union (27)",NA,1961,85374075000
"European Union (27)",NA,1962,87727830000
"European Union (27)",NA,1963,90239880000
"European Union (27)",NA,1964,92883100000
"European Union (27)",NA,1965,95559130000
"European Union (27)",NA,1966,98316690000
"European Union (27)",NA,1967,101135840000
"European Union (27)",NA,1968,104128230000
"European Union (27)",NA,1969,107319255000
"European Union (27)",NA,1970,110649630000
"European Union (27)",NA,1971,114073880000
"European Union (27)",NA,1972,117628410000
"European Union (27)",NA,1973,121356060000
"European Union (27)",NA,1974,125064510000
"European Union (27)",NA,1975,128700300000
"European Union (27)",NA,1976,132611860000
"European Union (27)",NA,1977,136484980000
"European Union (27)",NA,1978,140488590000
"European Union (27)",NA,1979,144601660000
"European Union (27)",NA,1980,148679180000
"European Union (27)",NA,1981,152542530000
"European Union (27)",NA,1982,156314030000
"European Union (27)",NA,1983,160042550000
"European Union (27)",NA,1984,163806150000
"European Union (27)",NA,1985,167626770000
"European Union (27)",NA,1986,171431250000
"European Union (27)",NA,1987,175269610000
"European Union (27)",NA,1988,179065930000
"European Union (27)",NA,1989,182900180000
"European Union (27)",NA,1990,186765670000
"European Union (27)",NA,1991,190568710000
"European Union (27)",NA,1992,194243080000
"European Union (27)",NA,1993,197850120000
"European Union (27)",NA,1994,201438690000
"European Union (27)",NA,1995,205075420000
"European Union (27)",NA,1996,208796100000
"European Union (27)",NA,1997,212450840000
"European Union (27)",NA,1998,216096520000
"European Union (27)",NA,1999,219687080000
"European Union (27)",NA,2000,223289500000
"European Union (27)",NA,2001,226949480000
"European Union (27)",NA,2002,230610900000
"European Union (27)",NA,2003,234355440000
"European Union (27)",NA,2004,238111050000
"European Union (27)",NA,2005,241846940000
"European Union (27)",NA,2006,245592620000
"European Union (27)",NA,2007,249303220000
"European Union (27)",NA,2008,252930300000
"European Union (27)",NA,2009,256262500000
"European Union (27)",NA,2010,259695130000
"European Union (27)",NA,2011,263028060000
"European Union (27)",NA,2012,266288200000
"European Union (27)",NA,2013,269465320000
"European Union (27)",NA,2014,272505520000
"European Union (27)",NA,2015,275598250000
"European Union (27)",NA,2016,2.78698e+11
"European Union (27)",NA,2017,281821220000
"European Union (27)",NA,2018,284870400000
"European Union (27)",NA,2019,287776830000
"European Union (27)",NA,2020,290398630000
"European Union (27)",NA,2021,293191650000
"Asia (excl. China and India)",NA,1750,0
"Asia (excl. China and India)",NA,1751,0
"Asia (excl. China and India)",NA,1752,0
"Asia (excl. China and India)",NA,1753,0
"Asia (excl. China and India)",NA,1754,0
"Asia (excl. China and India)",NA,1755,0
"Asia (excl. China and India)",NA,1756,0
"Asia (excl. China and India)",NA,1757,0
"Asia (excl. China and India)",NA,1758,0
"Asia (excl. China and India)",NA,1759,0
"Asia (excl. China and India)",NA,1760,0
"Asia (excl. China and India)",NA,1761,0
"Asia (excl. China and India)",NA,1762,0
"Asia (excl. China and India)",NA,1763,0
"Asia (excl. China and India)",NA,1764,0
"Asia (excl. China and India)",NA,1765,0
