"country_name","country_code","year","gdp_ppp_2017_int","world_amount","share"
"China","CHN","1990",1616385775698.94,51377597243461.9,0.031460906356508
"China","CHN","1991",1766108132395.14,52047393869457.6,0.0339326909782418
"China","CHN","1992",2017328706335.29,52874010505264.4,0.0381535027711665
"China","CHN","1993",2297409163056.5,53761621209328.9,0.0427332567615696
"China","CHN","1994",2596917953189.27,55290725056165.4,0.0469684192159041
"China","CHN","1995",2881383160103.41,57022104191630.2,0.0505309862017744
"China","CHN","1996",3167290039416.23,59159360419755.8,0.0535382738579868
"China","CHN","1997",3459845648886.52,61461150408486.4,0.0562932132882562
"China","CHN","1998",3731303470424.21,62981217441550.9,0.059244702182631
"China","CHN","1999",4017182938755.54,65199281872256.8,0.0616139138867557
"China","CHN","2000",4358245522535.81,68291936063103.4,0.063817864506121
"China","CHN","2001",4721537253617.51,69869979379910.3,0.0675760504800591
"China","CHN","2002",5152785033972.09,71751334840060.2,0.0718144832491003
"China","CHN","2003",5670023166308.18,74404801670351.9,0.0762050706274178
"China","CHN","2004",6243467841396.09,78178796024598,0.0798613966814181
"China","CHN","2005",6954885516694.85,81716841231826.5,0.0851095736430168
"China","CHN","2006",7839613419837.17,85870534848983,0.0912957329731831
"China","CHN","2007",8955257903305.3,90267908560676.3,0.0992075483535298
"China","CHN","2008",9819501089971.55,92716950123615.2,0.105908370334439
"China","CHN","2009",10742409055886.5,92053342870401.2,0.11669765291425
"China","CHN","2010",11884957832311.2,96726192104535,0.122872177367085
"China","CHN","2011",13020070209403.8,100461534451157,0.129602541714451
"China","CHN","2012",14043934216102.1,103666962744467,0.135471647324322
"China","CHN","2013",15134607226924.2,107009658651331,0.141432160588767
"China","CHN","2014",16258467389928.8,110653058196182,0.146931929898434
"China","CHN","2015",17403279549482.5,114359602452387,0.152180308223162
"China","CHN","2016",18595188781703.6,118091663788882,0.157464025699114
"China","CHN","2017",19887033884256.7,122541297251838,0.162288423007195
"China","CHN","2018",21229363693432.1,126986229296715,0.167178471327216
"China","CHN","2019",22492617140030.3,130579519342313,0.172252258649123
"China","CHN","2020",22996145494661.5,126732219588076,0.181454610117356
"China","CHN","2021",24938739893648.7,134535410379137,0.185369337510239
"China","CHN","2022",25684608872998.8,139033278700565,0.184737129937902
"United States","USA","1990",10097624386310.6,51377597243461.9,0.196537497432221
"United States","USA","1991",10086692214387.4,52047393869457.6,0.193798218594504
"United States","USA","1992",10441989948821.6,52874010505264.4,0.197488139239635
"United States","USA","1993",10729330649577.1,53761621209328.9,0.199572304707867
"United States","USA","1994",11161593199621.7,55290725056165.4,0.201870986287185
"United States","USA","1995",11461194612125,57022104191630.2,0.200995645015276
"United States","USA","1996",11893575685859.8,59159360419755.8,0.201043006575305
"United States","USA","1997",12422503803855.2,61461150408486.4,0.202119610864621
"United States","USA","1998",12979205197580.6,62981217441550.9,0.20608057012594
"United States","USA","1999",13601493066785,65199281872256.8,0.208614154576642
"United States","USA","2000",14156047630699.6,68291936063103.4,0.207287250102546
"United States","USA","2001",14291144275693.8,69869979379910.3,0.204539122560596
"United States","USA","2002",14533513925617.3,71751334840060.2,0.202553917052745
"United States","USA","2003",14939901364652.8,74404801670351.9,0.200792167027654
"United States","USA","2004",15515468923210.3,78178796024598,0.198461343895966
"United States","USA","2005",16055906889526.1,81716841231826.5,0.196482226276666
"United States","USA","2006",16502712372523.3,85870534848983,0.192181315762688
"United States","USA","2007",16834500650997.2,90267908560676.3,0.186494856471405
"United States","USA","2008",16855070465225.2,92716950123615.2,0.181790605091659
"United States","USA","2009",16416857451632.6,92053342870401.2,0.178340698335587
"United States","USA","2010",16861566593687.8,96726192104535,0.174322654772401
"United States","USA","2011",17122903162843,100461534451157,0.170442381319269
"United States","USA","2012",17513423092584.5,103666962744467,0.168939290097213
"United States","USA","2013",17835998523381.8,107009658651331,0.166676529466342
"United States","USA","2014",18244046204930.4,110653058196182,0.164876113704735
"United States","USA","2015",18737797521903.6,114359602452387,0.16384979590765
"United States","USA","2016",19050245063231.6,118091663788882,0.161317441485867
"United States","USA","2017",19477336548999.9,122541297251838,0.158945082072793
"United States","USA","2018",20051019065249.1,126986229296715,0.15789916100586
"United States","USA","2019",20511077482157.9,130579519342313,0.157077293479602
"United States","USA","2020",19943371364490.3,126732219588076,0.157366228014575
"United States","USA","2021",21129101469840,134535410379137,0.157052343396401
"United States","USA","2022",21564697571746.1,139033278700565,0.155104574770116
