"entity","year","category","share","labels"
"United States",1840,"share_agri_man",0.775971731448763,"Agriculture & manufacturing"
"United States",1840,"share_services",0.224028268551237,"Services"
"United States",1850,"share_agri_man",0.755393939393939,"Agriculture & manufacturing"
"United States",1850,"share_services",0.244606060606061,"Services"
"United States",1860,"share_agri_man",0.72961296129613,"Agriculture & manufacturing"
"United States",1860,"share_services",0.27038703870387,"Services"
"United States",1870,"share_agri_man",0.790409899458623,"Agriculture & manufacturing"
"United States",1870,"share_services",0.209590100541377,"Services"
"United States",1880,"share_agri_man",0.769982748706153,"Agriculture & manufacturing"
"United States",1880,"share_services",0.230017251293847,"Services"
"United States",1890,"share_agri_man",0.698970840480274,"Agriculture & manufacturing"
"United States",1890,"share_services",0.301029159519726,"Services"
"United States",1900,"share_agri_man",0.683763329893361,"Agriculture & manufacturing"
"United States",1900,"share_services",0.316236670106639,"Services"
"United States",1910,"share_agri_man",0.616835645677695,"Agriculture & manufacturing"
"United States",1910,"share_services",0.383164354322305,"Services"
"United States",1920,"share_agri_man",0.586229271809661,"Agriculture & manufacturing"
"United States",1920,"share_services",0.413770728190339,"Services"
"United States",1929,"share_agri_man",0.493487698986975,"Agriculture & manufacturing"
"United States",1929,"share_services",0.506512301013025,"Services"
"United States",1930,"share_agri_man",0.482634978279357,"Agriculture & manufacturing"
"United States",1930,"share_services",0.517365021720643,"Services"
"United States",1931,"share_agri_man",0.47613872147021,"Agriculture & manufacturing"
"United States",1931,"share_services",0.52386127852979,"Services"
"United States",1932,"share_agri_man",0.471383834566168,"Agriculture & manufacturing"
"United States",1932,"share_services",0.528616165433832,"Services"
"United States",1933,"share_agri_man",0.474728905230064,"Agriculture & manufacturing"
"United States",1933,"share_services",0.525271094769936,"Services"
"United States",1934,"share_agri_man",0.471648727984344,"Agriculture & manufacturing"
"United States",1934,"share_services",0.528351272015656,"Services"
"United States",1935,"share_agri_man",0.472397848447674,"Agriculture & manufacturing"
"United States",1935,"share_services",0.527602151552326,"Services"
"United States",1936,"share_agri_man",0.461502915612279,"Agriculture & manufacturing"
"United States",1936,"share_services",0.538497084387721,"Services"
"United States",1937,"share_agri_man",0.467147023503174,"Agriculture & manufacturing"
"United States",1937,"share_services",0.532852976496826,"Services"
"United States",1938,"share_agri_man",0.443913441568592,"Agriculture & manufacturing"
"United States",1938,"share_services",0.556086558431408,"Services"
"United States",1939,"share_agri_man",0.447291964789038,"Agriculture & manufacturing"
"United States",1939,"share_services",0.552708035210962,"Services"
"United States",1940,"share_agri_man",0.44787869951888,"Agriculture & manufacturing"
"United States",1940,"share_services",0.55212130048112,"Services"
"United States",1941,"share_agri_man",0.46050605478775,"Agriculture & manufacturing"
"United States",1941,"share_services",0.53949394521225,"Services"
"United States",1942,"share_agri_man",0.464133331011302,"Agriculture & manufacturing"
"United States",1942,"share_services",0.535866668988698,"Services"
"United States",1943,"share_agri_man",0.441201648700063,"Agriculture & manufacturing"
"United States",1943,"share_services",0.558798351299937,"Services"
"United States",1944,"share_agri_man",0.415551266886634,"Agriculture & manufacturing"
"United States",1944,"share_services",0.584448733113366,"Services"
"United States",1945,"share_agri_man",0.394019700186785,"Agriculture & manufacturing"
"United States",1945,"share_services",0.605980299813215,"Services"
"United States",1946,"share_agri_man",0.436147243140766,"Agriculture & manufacturing"
"United States",1946,"share_services",0.563852756859234,"Services"
"United States",1947,"share_agri_man",0.45455815578065,"Agriculture & manufacturing"
"United States",1947,"share_services",0.54544184421935,"Services"
"United States",1948,"share_agri_man",0.462263664932255,"Agriculture & manufacturing"
"United States",1948,"share_services",0.537736335067745,"Services"
"United States",1949,"share_agri_man",0.445538981142696,"Agriculture & manufacturing"
"United States",1949,"share_services",0.554461018857304,"Services"
"United States",1950,"share_agri_man",0.44905769986502,"Agriculture & manufacturing"
"United States",1950,"share_services",0.55094230013498,"Services"
"United States",1951,"share_agri_man",0.43805686214702,"Agriculture & manufacturing"
