"year","indicator","values","trend_type","labels","yAxisLabels","min","values_temp","values_all_else"
1750,"x1_population_world",0.738897133629849,"Socio-economic Trends","World Population","bn",NA,0.738897133629849,0.738897133629849
1760,"x1_population_world",0.777040248083788,"Socio-economic Trends","World Population","bn",NA,0.777040248083788,0.777040248083788
1770,"x1_population_world",0.819826916344695,"Socio-economic Trends","World Population","bn",NA,0.819826916344695,0.819826916344695
1780,"x1_population_world",0.89607483537254,"Socio-economic Trends","World Population","bn",NA,0.89607483537254,0.89607483537254
1790,"x1_population_world",0.940416519304524,"Socio-economic Trends","World Population","bn",NA,0.940416519304524,0.940416519304524
1800,"x1_population_world",0.955773593299064,"Socio-economic Trends","World Population","bn",NA,0.955773593299064,0.955773593299064
1810,"x1_population_world",1.03333113536929,"Socio-economic Trends","World Population","bn",NA,1.03333113536929,1.03333113536929
1820,"x1_population_world",1.06084332624426,"Socio-economic Trends","World Population","bn",NA,1.06084332624426,1.06084332624426
1830,"x1_population_world",1.14350739672204,"Socio-economic Trends","World Population","bn",NA,1.14350739672204,1.14350739672204
1840,"x1_population_world",1.2036516287671,"Socio-economic Trends","World Population","bn",NA,1.2036516287671,1.2036516287671
1850,"x1_population_world",1.28086936038583,"Socio-economic Trends","World Population","bn",NA,1.28086936038583,1.28086936038583
1860,"x1_population_world",1.33899320237224,"Socio-economic Trends","World Population","bn",NA,1.33899320237224,1.33899320237224
1870,"x1_population_world",1.33988402692521,"Socio-economic Trends","World Population","bn",NA,1.33988402692521,1.33988402692521
1880,"x1_population_world",1.41978230046634,"Socio-economic Trends","World Population","bn",NA,1.41978230046634,1.41978230046634
1890,"x1_population_world",1.53898601964817,"Socio-economic Trends","World Population","bn",NA,1.53898601964817,1.53898601964817
1900,"x1_population_world",1.65962049545681,"Socio-economic Trends","World Population","bn",NA,1.65962049545681,1.65962049545681
1910,"x1_population_world",1.78317281501793,"Socio-economic Trends","World Population","bn",NA,1.78317281501793,1.78317281501793
1920,"x1_population_world",1.91842822720393,"Socio-economic Trends","World Population","bn",NA,1.91842822720393,1.91842822720393
1930,"x1_population_world",2.09896219236803,"Socio-economic Trends","World Population","bn",NA,2.09896219236803,2.09896219236803
1940,"x1_population_world",2.31539441660617,"Socio-economic Trends","World Population","bn",NA,2.31539441660617,2.31539441660617
1950,"x1_population_world",2.529333652625,"Socio-economic Trends","World Population","bn",NA,2.529333652625,2.529333652625
1960,"x1_population_world",3.02333705725,"Socio-economic Trends","World Population","bn",NA,3.02333705725,3.02333705725
1970,"x1_population_world",3.6857433035,"Socio-economic Trends","World Population","bn",NA,3.6857433035,3.6857433035
1980,"x1_population_world",4.4375588,"Socio-economic Trends","World Population","bn",NA,4.4375588,4.4375588
1990,"x1_population_world",5.290364561,"Socio-economic Trends","World Population","bn",NA,5.290364561,5.290364561
2000,"x1_population_world",6.115225342,"Socio-economic Trends","World Population","bn",NA,6.115225342,6.115225342
2010,"x1_population_world",6.908492946,"Socio-economic Trends","World Population","bn",NA,6.908492946,6.908492946
1750,"x2_real_gdp_world",0.351881552938461,"Socio-economic Trends","Real GDP","tn US$",NA,0.351881552938461,0.351881552938461
1820,"x2_real_gdp_world",0.469683836819374,"Socio-economic Trends","Real GDP","tn US$",NA,0.469683836819374,0.469683836819374
1821,"x2_real_gdp_world",0.0773885180707948,"Socio-economic Trends","Real GDP","tn US$",NA,0.0773885180707948,0.0773885180707948
1822,"x2_real_gdp_world",0.0754821526367112,"Socio-economic Trends","Real GDP","tn US$",NA,0.0754821526367112,0.0754821526367112
1823,"x2_real_gdp_world",0.0783095023333537,"Socio-economic Trends","Real GDP","tn US$",NA,0.0783095023333537,0.0783095023333537
1824,"x2_real_gdp_world",0.0809882430474999,"Socio-economic Trends","Real GDP","tn US$",NA,0.0809882430474999,0.0809882430474999
1825,"x2_real_gdp_world",0.0787469829105431,"Socio-economic Trends","Real GDP","tn US$",NA,0.0787469829105431,0.0787469829105431
1826,"x2_real_gdp_world",0.0803081590119494,"Socio-economic Trends","Real GDP","tn US$",NA,0.0803081590119494,0.0803081590119494
1827,"x2_real_gdp_world",0.0800541973835943,"Socio-economic Trends","Real GDP","tn US$",NA,0.0800541973835943,0.0800541973835943
1828,"x2_real_gdp_world",0.0809978416305923,"Socio-economic Trends","Real GDP","tn US$",NA,0.0809978416305923,0.0809978416305923
1829,"x2_real_gdp_world",0.0828926438441616,"Socio-economic Trends","Real GDP","tn US$",NA,0.0828926438441616,0.0828926438441616
1830,"x2_real_gdp_world",0.253297922740358,"Socio-economic Trends","Real GDP","tn US$",NA,0.253297922740358,0.253297922740358
1831,"x2_real_gdp_world",0.157557766548049,"Socio-economic Trends","Real GDP","tn US$",NA,0.157557766548049,0.157557766548049
1832,"x2_real_gdp_world",0.163760823373296,"Socio-economic Trends","Real GDP","tn US$",NA,0.163760823373296,0.163760823373296
1833,"x2_real_gdp_world",0.164185370230166,"Socio-economic Trends","Real GDP","tn US$",NA,0.164185370230166,0.164185370230166
1834,"x2_real_gdp_world",0.167936532579282,"Socio-economic Trends","Real GDP","tn US$",NA,0.167936532579282,0.167936532579282
1835,"x2_real_gdp_world",0.17496148451562,"Socio-economic Trends","Real GDP","tn US$",NA,0.17496148451562,0.17496148451562
1836,"x2_real_gdp_world",0.177445322285091,"Socio-economic Trends","Real GDP","tn US$",NA,0.177445322285091,0.177445322285091
1837,"x2_real_gdp_world",0.178019955841683,"Socio-economic Trends","Real GDP","tn US$",NA,0.178019955841683,0.178019955841683
1838,"x2_real_gdp_world",0.186003325808131,"Socio-economic Trends","Real GDP","tn US$",NA,0.186003325808131,0.186003325808131
1839,"x2_real_gdp_world",0.188495372355595,"Socio-economic Trends","Real GDP","tn US$",NA,0.188495372355595,0.188495372355595
1840,"x2_real_gdp_world",0.232634895081995,"Socio-economic Trends","Real GDP","tn US$",NA,0.232634895081995,0.232634895081995
1841,"x2_real_gdp_world",0.192397257866099,"Socio-economic Trends","Real GDP","tn US$",NA,0.192397257866099,0.192397257866099
1842,"x2_real_gdp_world",0.188882829373388,"Socio-economic Trends","Real GDP","tn US$",NA,0.188882829373388,0.188882829373388
1843,"x2_real_gdp_world",0.19502658401605,"Socio-economic Trends","Real GDP","tn US$",NA,0.19502658401605,0.19502658401605
1844,"x2_real_gdp_world",0.204338335074064,"Socio-economic Trends","Real GDP","tn US$",NA,0.204338335074064,0.204338335074064
1845,"x2_real_gdp_world",0.206675560213825,"Socio-economic Trends","Real GDP","tn US$",NA,0.206675560213825,0.206675560213825
1846,"x2_real_gdp_world",0.225087125710437,"Socio-economic Trends","Real GDP","tn US$",NA,0.225087125710437,0.225087125710437
1847,"x2_real_gdp_world",0.236167861580635,"Socio-economic Trends","Real GDP","tn US$",NA,0.236167861580635,0.236167861580635
1848,"x2_real_gdp_world",0.23260290589292,"Socio-economic Trends","Real GDP","tn US$",NA,0.23260290589292,0.23260290589292
1849,"x2_real_gdp_world",0.238674178462158,"Socio-economic Trends","Real GDP","tn US$",NA,0.238674178462158,0.238674178462158
1850,"x2_real_gdp_world",0.626413651836875,"Socio-economic Trends","Real GDP","tn US$",NA,0.626413651836875,0.626413651836875
1851,"x2_real_gdp_world",0.364013864665996,"Socio-economic Trends","Real GDP","tn US$",NA,0.364013864665996,0.364013864665996
1852,"x2_real_gdp_world",0.371961102041622,"Socio-economic Trends","Real GDP","tn US$",NA,0.371961102041622,0.371961102041622
1853,"x2_real_gdp_world",0.372005404599261,"Socio-economic Trends","Real GDP","tn US$",NA,0.372005404599261,0.372005404599261
1854,"x2_real_gdp_world",0.383094405368123,"Socio-economic Trends","Real GDP","tn US$",NA,0.383094405368123,0.383094405368123
1855,"x2_real_gdp_world",0.38876318051629,"Socio-economic Trends","Real GDP","tn US$",NA,0.38876318051629,0.38876318051629
1856,"x2_real_gdp_world",0.404764960144318,"Socio-economic Trends","Real GDP","tn US$",NA,0.404764960144318,0.404764960144318
1857,"x2_real_gdp_world",0.417732530008555,"Socio-economic Trends","Real GDP","tn US$",NA,0.417732530008555,0.417732530008555
1858,"x2_real_gdp_world",0.428276376746163,"Socio-economic Trends","Real GDP","tn US$",NA,0.428276376746163,0.428276376746163
1859,"x2_real_gdp_world",0.427552528243529,"Socio-economic Trends","Real GDP","tn US$",NA,0.427552528243529,0.427552528243529
1860,"x2_real_gdp_world",0.537158407538184,"Socio-economic Trends","Real GDP","tn US$",NA,0.537158407538184,0.537158407538184
1861,"x2_real_gdp_world",0.505865010852982,"Socio-economic Trends","Real GDP","tn US$",NA,0.505865010852982,0.505865010852982
1862,"x2_real_gdp_world",0.520723688500997,"Socio-economic Trends","Real GDP","tn US$",NA,0.520723688500997,0.520723688500997
1863,"x2_real_gdp_world",0.53543558056252,"Socio-economic Trends","Real GDP","tn US$",NA,0.53543558056252,0.53543558056252
1864,"x2_real_gdp_world",0.547646763438526,"Socio-economic Trends","Real GDP","tn US$",NA,0.547646763438526,0.547646763438526
1865,"x2_real_gdp_world",0.55562622304621,"Socio-economic Trends","Real GDP","tn US$",NA,0.55562622304621,0.55562622304621
1866,"x2_real_gdp_world",0.565847722738002,"Socio-economic Trends","Real GDP","tn US$",NA,0.565847722738002,0.565847722738002
1867,"x2_real_gdp_world",0.551901397739313,"Socio-economic Trends","Real GDP","tn US$",NA,0.551901397739313,0.551901397739313
1868,"x2_real_gdp_world",0.576906591013254,"Socio-economic Trends","Real GDP","tn US$",NA,0.576906591013254,0.576906591013254
1869,"x2_real_gdp_world",0.587764255383584,"Socio-economic Trends","Real GDP","tn US$",NA,0.587764255383584,0.587764255383584
1870,"x2_real_gdp_world",1.01002433056946,"Socio-economic Trends","Real GDP","tn US$",NA,1.01002433056946,1.01002433056946
1871,"x2_real_gdp_world",0.785781501512175,"Socio-economic Trends","Real GDP","tn US$",NA,0.785781501512175,0.785781501512175
1872,"x2_real_gdp_world",0.817671466025304,"Socio-economic Trends","Real GDP","tn US$",NA,0.817671466025304,0.817671466025304
1873,"x2_real_gdp_world",0.83551287439264,"Socio-economic Trends","Real GDP","tn US$",NA,0.83551287439264,0.83551287439264
1874,"x2_real_gdp_world",0.863652546488044,"Socio-economic Trends","Real GDP","tn US$",NA,0.863652546488044,0.863652546488044
1875,"x2_real_gdp_world",0.889081943687886,"Socio-economic Trends","Real GDP","tn US$",NA,0.889081943687886,0.889081943687886
1876,"x2_real_gdp_world",0.880546699066004,"Socio-economic Trends","Real GDP","tn US$",NA,0.880546699066004,0.880546699066004
1877,"x2_real_gdp_world",0.898513630348413,"Socio-economic Trends","Real GDP","tn US$",NA,0.898513630348413,0.898513630348413
1878,"x2_real_gdp_world",0.912176611087513,"Socio-economic Trends","Real GDP","tn US$",NA,0.912176611087513,0.912176611087513
1879,"x2_real_gdp_world",0.917707683404675,"Socio-economic Trends","Real GDP","tn US$",NA,0.917707683404675,0.917707683404675
1880,"x2_real_gdp_world",0.969587788894688,"Socio-economic Trends","Real GDP","tn US$",NA,0.969587788894688,0.969587788894688
1881,"x2_real_gdp_world",0.991300362028455,"Socio-economic Trends","Real GDP","tn US$",NA,0.991300362028455,0.991300362028455
1882,"x2_real_gdp_world",1.02708229453599,"Socio-economic Trends","Real GDP","tn US$",NA,1.02708229453599,1.02708229453599
1883,"x2_real_gdp_world",1.04861455790035,"Socio-economic Trends","Real GDP","tn US$",NA,1.04861455790035,1.04861455790035
1884,"x2_real_gdp_world",1.10439400907798,"Socio-economic Trends","Real GDP","tn US$",NA,1.10439400907798,1.10439400907798
1885,"x2_real_gdp_world",1.11267674710762,"Socio-economic Trends","Real GDP","tn US$",NA,1.11267674710762,1.11267674710762
1886,"x2_real_gdp_world",1.13367652456962,"Socio-economic Trends","Real GDP","tn US$",NA,1.13367652456962,1.13367652456962
1887,"x2_real_gdp_world",1.1719512562458,"Socio-economic Trends","Real GDP","tn US$",NA,1.1719512562458,1.1719512562458
1888,"x2_real_gdp_world",1.19355678152779,"Socio-economic Trends","Real GDP","tn US$",NA,1.19355678152779,1.19355678152779
1889,"x2_real_gdp_world",1.23034017428269,"Socio-economic Trends","Real GDP","tn US$",NA,1.23034017428269,1.23034017428269
